Question,Choice1,Choice2,Choice3,Choice4,Answer
What is the height in an HD Image?,480,720,1080,240,2
How many corners does a hexagon have?,Three,Four,Five,Six,4
What is the variable type of a? a = 'yes',Integer,Float,String,Character,3
How many oceans are in the world?,Two ,Three,Four,Five,4
Which institution is the best choice for to study?,EHB,EHB,EHB,EHB,1
What is the capital of Belgium?,Brussels,Antwerp,Ghent,Liege,1
What is the capital of Spain?,Madrid,Barcelona,Valencia,Seville,1
How long is a year in Mars?,687 days,669 days,673 days,680 days,1
What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Uranus,1
What is the atomic number of carbon?,4,8,6,12,3
Who invented the World Wide Web?,Bill Gates,Steve Jobs,Mark Zuckerberg,Tim Berners-Lee,4
What is the closest star to Earth?,Sun,Proxima Centauri,Alpha Centauri,Sirius,1
How many continents are there?,5,6,4,7,4
What is the primary component of natural gas?,Methane,Propane,Butane,Ethane,1
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,2
What is the largest ocean on Earth?,Pacific,Atlantic,Indian,Arctic,1
What is the fastest land animal?,Lion,Cheetah,Antelope,Quarter Horse,2
Who wrote "Romeo and Juliet"?,Charles Dickens,J.K. Rowling,William Shakespeare,Mark Twain,3
In what year did humans first land on the Moon?,1969,1971,1958,1965,1
Where is Elon Musk from?,South Africa,United States,Canada,Australia,1
Why is the sky blue?,Scattering of sunlight,Reflection of sunlight,Refraction of sunlight,Absorption of sunlight,1
How many legs does a spider have?,6,8,4,10,2
Which animal can see while eyes are closed?,Bat,Dog,Cat,Bird,1
